cap.shape cap.surface cap.color bruises odor gill.attachment gill.spacing gill.size gill.color stalk.shape stalk.root stalk.surface.above.ring stalk.surface.below.ring stalk.color.above.ring stalk.color.below.ring veil.color ring.number ring.type spore.print.color population habitat.
CONVEX FIBROUS GRAY BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH PINK WHITE WHITE ONE PENDANT BROWN SOLITARY WOODS
FLAT FIBROUS YELLOW NO FOUL FREE CLOSE BROAD CHOCOLATE ENLARGING BULBOUS SILKY SILKY BUFF BUFF WHITE ONE LARGE CHOCOLATE SOLITARY WOODS
CONVEX SCALY RED BRUISES NONE FREE CLOSE BROAD PURPLE TAPERING BULBOUS SMOOTH SMOOTH PINK GRAY WHITE ONE PENDANT BLACK SEVERAL WOODS
BELL SCALY WHITE BRUISES ANISE FREE CLOSE BROAD WHITE ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SCATTERED GRASSES
FLAT SCALY BROWN BRUISES ANISE FREE CLOSE BROAD WHITE ENLARGING ROOTED SMOOTH SCALY WHITE WHITE WHITE ONE PENDANT BROWN SOLITARY GRASSES
FLAT FIBROUS GRAY NO NONE FREE CROWDED BROAD PINK TAPERING EQUAL FIBROUS FIBROUS WHITE WHITE WHITE ONE EVANESCENT BLACK SCATTERED GRASSES
CONVEX SMOOTH BUFF BRUISES FOUL FREE CLOSE BROAD CHOCOLATE TAPERING BULBOUS FIBROUS SMOOTH WHITE WHITE WHITE ONE PENDANT CHOCOLATE SCATTERED URBAN
CONVEX FIBROUS BROWN NO NONE FREE CLOSE NARROW GRAY ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SOLITARY URBAN
FLAT SCALY BROWN BRUISES NONE FREE CLOSE BROAD WHITE TAPERING BULBOUS SMOOTH SMOOTH WHITE GRAY WHITE ONE PENDANT BLACK SOLITARY WOODS
FLAT SMOOTH WHITE BRUISES NONE FREE CLOSE BROAD GREEN ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE TWO PENDANT GREEN SEVERAL GRASSES
CONVEX FIBROUS YELLOW NO FOUL FREE CLOSE BROAD CHOCOLATE ENLARGING BULBOUS SILKY SILKY BUFF PINK WHITE ONE LARGE CHOCOLATE SEVERAL GRASSES
FLAT SCALY RED BRUISES NONE FREE CLOSE BROAD WHITE TAPERING BULBOUS SMOOTH SMOOTH GRAY WHITE WHITE ONE PENDANT BROWN SEVERAL WOODS
